package,old,new,delta
baker,NA,1.0.2,*
bslib,NA,0.6.1,*
cowplot,NA,1.1.2,*
data.table,NA,1.14.10,*
dplyr,NA,1.1.4,*
e1071,NA,1.7-14,*
fpc,NA,2.2-11,*
haven,NA,2.5.4,*
htmltools,NA,0.5.7,*
httpuv,NA,1.6.13,*
later,NA,1.3.2,*
lme4,NA,1.1-35.1,*
MatrixModels,NA,0.5-3,*
mclust,NA,6.0.1,*
mvtnorm,NA,1.2-4,*
R2WinBUGS,NA,2.1-21,*
ranger,NA,0.16.0,*
RcppArmadillo,NA,0.12.6.6.1,*
RcppEigen,NA,0.3.3.9.4,*
sass,NA,0.4.8,*
scales,NA,1.3.0,*
shiny,NA,1.8.0,*
sp,NA,2.1-2,*
stringi,NA,1.8.3,*
stringr,NA,1.5.1,*
testthat,NA,3.2.1,*
vroom,NA,1.6.5,*
waldo,NA,0.5.2,*
